,Model,Intersection,Ranked Results
0,jonatasgrosman/wav2vec2-large-xlsr-53-english,[0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75],"['jonatasgrosman/wav2vec2-large-xlsr-53-polish', 'jonatasgrosman/wav2vec2-large-xlsr-53-spanish', 'jonatasgrosman/wav2vec2-large-xlsr-53-french', 'jonatasgrosman/wav2vec2-large-xlsr-53-portuguese', 'jonatasgrosman/wav2vec2-large-xlsr-53-german', 'jonatasgrosman/wav2vec2-large-xlsr-53-italian', 'jonatasgrosman/wav2vec2-large-xlsr-53-dutch', 'jonatasgrosman/wav2vec2-large-xlsr-53-russian', 'abidlabs/speech-text']"
1,bert-base-uncased,[1.   0.75 1.   0.75 1.   0.75 1.   0.75 1.  ],"['Contents/bert-base-uncased', 'Gxg/OpNum_Bert_Merge', 'mlcorelib/debertav2-base-uncased', 'UKP-SQuARE/bert-base-uncased-onnx', 'bert-base-cased', 'tftransformers/bert-base-uncased', 'byeongal/bert-base-uncased', 'UKP-SQuARE/bert-base-cased-onnx', 'baseten/docs-example-gated-model']"
2,gpt2,[1.  1.  1.  0.5 0.5 1.  0.5 0.5 0.5],"['optimum/gpt2', 'Narsil/gpt3', 'model-attribution-challenge/gpt2', 'byeongal/gpt2-large', 'tftransformers/gpt2-medium', 'crumbly/gpt2-linear-xl', 'HiTZ/gpt2-eus-euscrawl', 'ashiqabdulkhader/GPT2-Poet', 'Finnish-NLP/gpt2-finnish']"
3,xlm-roberta-base,[1.  0.5 0.5 1.  1.  0.  0.5 0.5 0.5],"['harshit158/mlm_hf', 'facebook/xlm-roberta-xl', 'khavitidala/xlmroberta-large-fine-tuned-indo-hoax-classification', 'roberta-base', 'model-attribution-challenge/roberta-base', 'Gxl/234', 'bert-base-multilingual-cased', 'bert-base-multilingual-uncased', 'macedonizer/al-roberta-base']"
4,openai/clip-vit-large-patch14,"[0.66666667 0.66666667 0.33333333 0.33333333 0.66666667 0.33333333
 0.33333333 0.33333333 0.5       ]","['mattmdjaga/clip-vit-base-patch32_handler', 'SaulLu/clip-vit-base-patch32', 'timm/vit_base_patch32_clip_224.openai', 'timm/vit_base_patch16_clip_224.openai', 'flax-community/clip-rsicd-v2', 'flavour/CLIP-ViT-B-16-DataComp.XL-s13B-b90K', 'mlunar/clip-variants', 'laion/CLIP-ViT-L-14-DataComp.XL-s13B-b90K', 'laion/CLIP-ViT-bigG-14-laion2B-39B-b160k']"
5,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,"[0.75       0.75       0.75       0.85714286 0.75       0.5
 0.85714286 0.25       0.        ]","['MoritzLaurer/MiniLM-L6-mnli-fever-docnli-ling-2c', 'MoritzLaurer/DeBERTa-v3-base-mnli', 'MoritzLaurer/MiniLM-L6-mnli', 'MoritzLaurer/xtremedistil-l6-h256-mnli-fever-anli-ling-binary', 'MoritzLaurer/MiniLM-L6-mnli-binary', 'khalidalt/DeBERTa-v3-large-mnli', 'MoritzLaurer/DeBERTa-v3-xsmall-mnli-fever-anli-ling-binary', 'mrm8488/deberta-v3-small-finetuned-cola', 'uer/albert-base-chinese-cluecorpussmall']"
6,sentence-transformers/all-mpnet-base-v2,"[0.92       0.6        0.6        0.92307692 0.92307692 0.88461538
 0.6        0.6        0.6       ]","['diptanuc/all-mpnet-base-v2', 'navteca/all-mpnet-base-v2', '3gg/all-mpnet-base-v2', 'sentence-transformers/all-distilroberta-v1', 'sentence-transformers/all-MiniLM-L12-v2', 'sentence-transformers/all-MiniLM-L6-v2', 'sentence-transformers/all-roberta-large-v1', 'optimum/all-MiniLM-L6-v2', 'guidecare/all-mpnet-base-v2-feature-extraction']"
7,NousResearch/Llama-2-13b-hf,"[0.85714286 0.85714286 0.85714286 0.85714286 0.75       0.85714286
 0.85714286 0.85714286 0.85714286]","['meta-llama/Llama-2-7b-hf', 'anonymous4chan/llama-2-7b', 'anonymous4chan/llama-2-70b', 'meta-llama/Llama-2-70b-chat-hf', 'deepsbn/llama-2-13b-chat-ggml', 'substratusai/Llama-2-7b-chat-GGUF', 'dranger003/llama-2-70b-chat', 'cryptoman/converted-llama-2-70b', 'Recag/12345']"
8,google/flan-t5-base,"[0.84615385 0.92307692 0.84615385 0.33333333 0.16666667 0.2
 0.         0.2        0.2       ]","['cloudqi/cqi_question_solver_translator_v0', 'google/flan-t5-xxl', 'dfurman/flan-t5-xxl-copy', 'philschmid/flan-t5-xxl-sharded-fp16', 'Salesforce/dialogstudio-t5-base-v1.0', 'yhavinga/t5-base-dutch', 'yhavinga/t5-v1.1-base-dutch-cnn-test', 'kaist-ai/CoT-T5-11B', 'kaist-ai/CoT-T5-3B']"
9,runwayml/stable-diffusion-v1-5,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['Kernel/sd-nsfw', 'nmkd/stable-diffusion-1.5-onnx-fp16', 'jutaporn37678/stable-diffusion-v1-0', 'CompVis/stable-diffusion-v1-4', 'keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim']"
