,Model,Intersection,Ranked Results
0,jonatasgrosman/wav2vec2-large-xlsr-53-english,[0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75],"['jonatasgrosman/wav2vec2-large-xlsr-53-portuguese', 'jonatasgrosman/wav2vec2-large-xlsr-53-french', 'jonatasgrosman/wav2vec2-large-xlsr-53-german', 'jonatasgrosman/wav2vec2-large-xlsr-53-italian', 'jonatasgrosman/wav2vec2-large-xlsr-53-spanish', 'jonatasgrosman/wav2vec2-large-xlsr-53-polish', 'jonatasgrosman/wav2vec2-large-xlsr-53-russian', 'jonatasgrosman/wav2vec2-large-xlsr-53-dutch', 'abidlabs/speech-text']"
1,bert-base-uncased,[1.   0.75 0.75 1.   0.75 0.75 1.   1.   0.75],"['Contents/bert-base-uncased', 'Gxg/OpNum_Bert_Merge', 'UKP-SQuARE/bert-base-uncased-onnx', 'bert-base-cased', 'tftransformers/bert-base-uncased', 'UKP-SQuARE/bert-base-cased-onnx', 'mlcorelib/debertav2-base-uncased', 'byeongal/bert-base-uncased', 'MultiBertGunjanPatrick/multiberts-seed-3']"
2,gpt2,[1.  1.  1.  0.5 0.5 0.5 0.5 0.5 0.5],"['optimum/gpt2', 'Narsil/gpt3', 'model-attribution-challenge/gpt2', 'tftransformers/gpt2-medium', 'HiTZ/gpt2-eus-euscrawl', 'Finnish-NLP/gpt2-finnish', 'byeongal/gpt2-large', 'macedonizer/mk-gpt2', 'macedonizer/al-gpt2']"
3,xlm-roberta-base,[1.  0.5 0.5 0.5 0.5 1.  1.  0.5 0.5],"['harshit158/mlm_hf', 'khavitidala/xlmroberta-large-fine-tuned-indo-hoax-classification', 'facebook/xlm-roberta-xl', 'macedonizer/gr-roberta-base', 'macedonizer/al-roberta-base', 'roberta-base', 'model-attribution-challenge/roberta-base', 'flax-community/RoBERTa-large-finnish', 'macedonizer/sr-roberta-base']"
4,openai/clip-vit-large-patch14,"[0.66666667 0.66666667 0.33333333 0.33333333 0.33333333 0.33333333
 0.         0.33333333 0.33333333]","['SaulLu/clip-vit-base-patch32', 'mattmdjaga/clip-vit-base-patch32_handler', 'timm/vit_base_patch32_clip_224.openai', 'timm/vit_base_patch16_clip_224.openai', 'facebook/dino-vits8', 'facebook/dino-vits16', 'timm/vit_relpos_small_patch16_224.sw_in1k', 'google/vit-base-patch16-224-in21k', 'google/vit-huge-patch14-224-in21k']"
5,MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,"[0.75       0.75       0.85714286 0.85714286 0.75       0.
 0.         0.         0.        ]","['MoritzLaurer/DeBERTa-v3-base-mnli', 'MoritzLaurer/MiniLM-L6-mnli-fever-docnli-ling-2c', 'MoritzLaurer/xtremedistil-l6-h256-mnli-fever-anli-ling-binary', 'MoritzLaurer/DeBERTa-v3-xsmall-mnli-fever-anli-ling-binary', 'MoritzLaurer/MiniLM-L6-mnli-binary', 'ConvLab/lava-policy-multiwoz20', 'rohitp1/libri-alpha-0.75-Temp-1-attention-3-layers-distil-with-6-layers-att-take-4', 'jogonba2/barthez-deft-linguistique', 'jogonba2/barthez-deft-chimie']"
6,sentence-transformers/all-mpnet-base-v2,"[0.92       0.6        0.6        0.92307692 0.6        0.88461538
 0.92307692 0.6        0.6       ]","['diptanuc/all-mpnet-base-v2', 'navteca/all-mpnet-base-v2', '3gg/all-mpnet-base-v2', 'sentence-transformers/all-distilroberta-v1', 'sentence-transformers/all-roberta-large-v1', 'sentence-transformers/all-MiniLM-L6-v2', 'sentence-transformers/all-MiniLM-L12-v2', 'optimum/all-MiniLM-L6-v2', 'optimum/sbert-all-MiniLM-L6-with-pooler']"
7,NousResearch/Llama-2-13b-hf,"[0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.75
 0.71428571 0.85714286 0.85714286]","['meta-llama/Llama-2-7b-hf', 'anonymous4chan/llama-2-70b', 'anonymous4chan/llama-2-7b', 'meta-llama/Llama-2-70b-chat-hf', 'Recag/12345', 'deepsbn/llama-2-13b-chat-ggml', 'erfanzar/Llama-2-jax', 'substratusai/Llama-2-7b-chat-GGUF', 'heegyu/LIMA2-13b-hf']"
8,google/flan-t5-base,"[0.84615385 0.         0.         0.         0.         0.
 0.         0.         0.33333333]","['cloudqi/cqi_question_solver_translator_v0', 'togethercomputer/RedPajama-INCITE-Instruct-3B-v1', 'togethercomputer/RedPajama-INCITE-7B-Instruct', 'lucianosb/llama-2-7b-langchain-chat-GGUF', 'emozilla/open_llama_7b-scaled', 'crscardellino/xi-ciai-cba-martin-fierro', 'keldenl/RedPajama-INCITE-Instruct-7B-v0.1-GGML', 'polymer/model-007-2-13b', 'philschmid/flan-t5-xxl-sharded-fp16']"
9,runwayml/stable-diffusion-v1-5,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['Kernel/sd-nsfw', 'nmkd/stable-diffusion-1.5-onnx-fp16', 'pain/CalliarGen-v2', 'CompVis/stable-diffusion-v1-4', 'keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim']"
10,distilbert-base-uncased,[0.75 1.   0.25 0.   1.   1.   1.   0.25 0.25],"['onnxport/distilbert-base-uncased-onnx', 'distilbert-base-cased', 'macedonizer/gr-roberta-base', 'itsatarax/comprehenso', 'baseten/docs-example-gated-model', 'roberta-base', 'model-attribution-challenge/roberta-base', 'macedonizer/ba-roberta-base', 'macedonizer/al-roberta-base']"
11,SamLowe/roberta-base-go_emotions,"[0.25       0.25       0.33333333 0.33333333 0.25       0.33333333
 0.         0.125      0.25      ]","['aambrioso/distilbert-base-uncased-finetuned-emotion', 'Vasanth/tamil-sentiment-distilbert', 'tartuNLP/EstBERT128_Rubric', 'Ayazhankad/bert-finetuned-semantic-chinese', 'nickprock/xlm-roberta-base-banking77-classification', 'Ayazhankad/fine-tune-bert-chinese-sent-analysis', 'hkaraoguz/BERT_swedish-ner', 'dougtrajano/toxicity-target-classification', 'RJZauner/distilbert_rotten_tomatoes_sentiment_classifier']"
12,roberta-base,[1.   0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.  ],"['model-attribution-challenge/roberta-base', 'macedonizer/sr-roberta-base', 'macedonizer/gr-roberta-base', 'macedonizer/hr-roberta-base', 'macedonizer/mk-roberta-base', 'macedonizer/al-roberta-base', 'macedonizer/ba-roberta-base', 'flax-community/RoBERTa-large-finnish', 'Gxl/234']"
13,marieke93/MiniLM-evidence-types,"[0.66666667 0.66666667 0.33333333 1.         0.66666667 0.33333333
 0.33333333 0.33333333 0.66666667]","['saattrupdan/verdict-classifier', 'saattrupdan/verdict-classifier-en', 'glombardo/misogynistic-statements-restructuring-model', 'marieke93/BERT-evidence-types', 'pritamdeka/PubMedBERT-MNLI-MedNLI', 'ju-bezdek/slovakbert-conll2003-sk-ner', 'Amir13/xlm-roberta-base-conll2003', 'Amir13/xlm-roberta-base-wnut2017', 'raima2001/Fake-News-Detection-Roberta']"
