,Model,Intersection,Ranked Results
0,CompVis/stable-diffusion-v1-4,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim', 'jutaporn37678/stable-diffusion-v1-0', 'pain/CalliarGen-v2', 'osanseviero/compvis_fix', 'Narsil/stable-diffusion-v1-4']"
1,jonatasgrosman/wav2vec2-large-xlsr-53-hungarian,"[0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.71428571 0.85714286 0.85714286]","['jonatasgrosman/wav2vec2-large-xlsr-53-finnish', 'jonatasgrosman/wav2vec2-large-xlsr-53-greek', 'jonatasgrosman/wav2vec2-large-xlsr-53-persian', 'jonatasgrosman/wav2vec2-large-xlsr-53-japanese', 'jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn', 'jonatasgrosman/wav2vec2-large-english', 'wbbbbb/wav2vec2-large-chinese-zh-cn', 'jonatasgrosman/wav2vec2-large-fr-voxpopuli-french', 'jonatasgrosman/wav2vec2-large-xlsr-53-arabic']"
2,cerebras/Cerebras-GPT-13B,[1.  1.  1.  1.  1.  1.  0.  0.8 0. ],"['cerebras/Cerebras-GPT-1.3B', 'cerebras/Cerebras-GPT-590M', 'cerebras/Cerebras-GPT-256M', 'cerebras/Cerebras-GPT-6.7B', 'cerebras/Cerebras-GPT-2.7B', 'cerebras/Cerebras-GPT-13B', 'bjoernp/alpaca-cerebras-6.7B', 'marcospiau/Cerebras-GPT-13B-reshard-1GB-float32', 'TMElyralab/lyraBaichuan']"
3,timm/eva02_base_patch14_224.mim_in22k,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['timm/eva02_small_patch14_336.mim_in22k_ft_in1k', 'timm/eva02_base_patch14_448.mim_in22k_ft_in22k_in1k', 'timm/eva02_large_patch14_224.mim_m38m', 'timm/eva02_large_patch14_448.mim_m38m_ft_in1k', 'timm/eva_giant_patch14_336.m30m_ft_in22k_in1k', 'timm/eva_giant_patch14_560.m30m_ft_in22k_in1k', 'timm/eva_large_patch14_336.in22k_ft_in22k_in1k', 'timm/eva_large_patch14_196.in22k_ft_in22k_in1k', 'timm/vit_relpos_base_patch16_clsgap_224.sw_in1k']"
4,Hello-SimpleAI/chatgpt-qa-detector-roberta,"[1.         0.         0.         0.         0.33333333 0.
 0.         0.         0.        ]","['Hello-SimpleAI/chatgpt-detector-roberta', 'consciousAI/question-answering-generative-t5-v1-base-s-q-c', 'KoalaAI/OPT-1.3b-Chat', 'saiful9379/Bangla_Roberta_Question_and_Answer', 'alistvt/fudnet', 'vivekfogteams/fastchat-3b-copy', 'Shobhank-iiitdwd/RoBERTA-rrQA', 'aware-ai/xlmroberta-squadv2', 'anakin87/electra-italian-xxl-cased-squad-it']"
5,Yntec/OpenLexica,"[0.5        0.5        0.7        0.5        1.         0.5
 0.71428571 0.28571429 0.5       ]","['Yntec/REV', 'Yntec/lametta', 'Yntec/WoopWoopRemix', 'Yntec/ReVAnimated768', 'Yntec/NovelAI', 'Yntec/vividicAnime', 'Yntec/CartoonStyleClassic', 'Yntec/Infinite80s', 'Yntec/DeliShaper']"
6,Open-Orca/OpenOrcaxOpenChat-Preview2-13B,"[0.66666667 0.33333333 1.         0.33333333 0.33333333 0.33333333
 0.33333333 0.33333333 0.        ]","['swapnice/swapnice-openorcaxopenchat-preview2-13b', 'NousResearch/Nous-Puffin-70B', 'Open-Orca/LlongOrca-13B-16k', 'togethercomputer/Llama-2-7B-32K-Instruct', '4bit/Redmond-Puffin-13B', 'rishiraj/geraki', 'aisquared/chopt-1_3b', 'aisquared/chopt-2_7b', 'jankovicsandras/Llama-2-13b-chat-norwegian-Q5_K_M-GGUF']"
7,cardiffnlp/twitter-roberta-base-sentiment,"[1.         1.         0.33333333 0.33333333 0.66666667 0.5
 0.33333333 0.5        0.5       ]","['cardiffnlp/twitter-roberta-base-sentiment-latest', 'cardiffnlp/twitter-xlm-roberta-base-sentiment', 'siebert/sentiment-roberta-large-english', 'l3cube-pune/MarathiSentiment', 'selimsametoglu/selims', 'tblard/tf-allocine', 'ongknsro/ACARISBERT-DistilBERT', 'osiria/bert-tweet-italian-uncased-sentiment', 'philschmid/pt-tblard-tf-allocine']"
8,Salesforce/codegen-2B-mono,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-6B-mono', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-350M-mono', 'Salesforce/codegen-350M-multi', 'Salesforce/codegen-2B-multi', 'Salesforce/codegen-6B-multi', 'Salesforce/codegen-16B-multi', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-6B-nl']"
9,prajjwal1/bert-small,"[1.         0.83333333 0.         0.         0.         0.
 0.         0.         0.        ]","['prajjwal1/bert-mini', 'harshil10/birt_tiny', 'GroNLP/bert-base-dutch-cased-upos-alpino', 'Josue/BETO-espanhol-Squad2', 'mrm8488/bert-base-spanish-wwm-cased-finetuned-spa-squad2-es', 'dccuchile/bert-base-spanish-wwm-uncased', 'google/multiberts-seed_0-step_40k', 'l3cube-pune/me-bert', 'wiselinjayajos/finetuned-bert-mrpc']"
10,Salesforce/xgen-7b-8k-base,[0.5 0.5 0.5 0.  0.  0.  0.5 0.5 0. ],"['anugrahap/gpt2-indo-textgen', 'pankajmathur/orca_mini_v3_70b', 'OpenAssistant/pythia-12b-pre-v8-12.5k-steps', 'teknium/OpenHermes-7B-adapter', 'ccdv/lsg-bart-base-16384-arxiv', 'michaelfeil/ct2fast-stablelm-base-alpha-7b', 'MBZUAI/bactrian-x-llama-13b-merged', 'teknium/OpenHermes-7B', 'atzenhofer/distilroberta-base-mhg-charter-mlm']"
