,Model,Intersection,Ranked Results
0,CompVis/stable-diffusion-v1-4,[0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim', 'jutaporn37678/stable-diffusion-v1-0', 'pain/CalliarGen-v2', 'osanseviero/compvis_fix', 'nmkd/stable-diffusion-1.5-onnx-fp16']"
1,jonatasgrosman/wav2vec2-large-xlsr-53-hungarian,"[0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.71428571 0.85714286 0.71428571]","['jonatasgrosman/wav2vec2-large-xlsr-53-finnish', 'jonatasgrosman/wav2vec2-large-xlsr-53-greek', 'jonatasgrosman/wav2vec2-large-xlsr-53-persian', 'jonatasgrosman/wav2vec2-large-xlsr-53-japanese', 'jonatasgrosman/wav2vec2-large-english', 'jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn', 'wbbbbb/wav2vec2-large-chinese-zh-cn', 'jonatasgrosman/wav2vec2-large-xlsr-53-arabic', 'stefan-it/wav2vec2-large-xlsr-53-basque']"
2,cerebras/Cerebras-GPT-13B,"[1.         1.         1.         1.         1.         1.
 0.8        0.         0.33333333]","['cerebras/Cerebras-GPT-1.3B', 'cerebras/Cerebras-GPT-590M', 'cerebras/Cerebras-GPT-256M', 'cerebras/Cerebras-GPT-6.7B', 'cerebras/Cerebras-GPT-2.7B', 'cerebras/Cerebras-GPT-13B', 'marcospiau/Cerebras-GPT-13B-reshard-1GB-float32', 'bjoernp/alpaca-cerebras-6.7B', 'seantyh/mpt-1b-rp200b-dolly']"
3,timm/eva02_base_patch14_224.mim_in22k,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['timm/eva02_small_patch14_336.mim_in22k_ft_in1k', 'timm/eva02_base_patch14_448.mim_in22k_ft_in22k_in1k', 'timm/eva02_large_patch14_448.mim_m38m_ft_in1k', 'timm/eva02_large_patch14_224.mim_m38m', 'timm/vit_relpos_base_patch16_clsgap_224.sw_in1k', 'timm/vit_relpos_small_patch16_224.sw_in1k', 'timm/vit_srelpos_small_patch16_224.sw_in1k', 'timm/vit_relpos_base_patch32_plus_rpn_256.sw_in1k', 'timm/vit_relpos_medium_patch16_cls_224.sw_in1k']"
4,Hello-SimpleAI/chatgpt-qa-detector-roberta,"[1.         0.         0.         0.         0.33333333 0.
 0.         0.         0.        ]","['Hello-SimpleAI/chatgpt-detector-roberta', 'KoalaAI/OPT-1.3b-Chat', 'spybot/Timpi_Wilson', 'lmsys/fastchat-t5-3b-v1.0', 'alistvt/fudnet', 'vivekfogteams/fastchat-3b-copy', 'gsaivinay/Platypus-30B', 'garage-bAInd/Platypus-30B', 'zhuqi/t5-large-coqr-canard']"
5,Yntec/OpenLexica,"[0.5        0.5        0.66666667 0.7        0.71428571 0.66666667
 0.5        0.66666667 0.28571429]","['Yntec/lametta', 'Yntec/REV', 'Yntec/iComixRemix', 'Yntec/WoopWoopRemix', 'Yntec/CartoonStyleClassic', 'digiplay/RMHF_2.5D_v2', 'Yntec/ReVAnimated768', 'digiplay/CityEdge_StyleMix_v1.44', 'Yntec/Infinite80s']"
6,Open-Orca/OpenOrcaxOpenChat-Preview2-13B,"[0.66666667 1.         1.         0.33333333 0.33333333 0.
 0.33333333 0.33333333 0.33333333]","['swapnice/swapnice-openorcaxopenchat-preview2-13b', 'Open-Orca/LlongOrca-7B-16k', 'Open-Orca/LlongOrca-13B-16k', 'NousResearch/Nous-Puffin-70B', 'elinas/vicuna-13b-4bit', 'vincentmin/llama-2-7b-reward-oasst1', 'linkanjarad/Cerebras-GPT-Alpaca-590m', 'pankajmathur/orca_mini_v3_7b', 'mrsteyk/openchatgpt-neox-125m']"
7,cardiffnlp/twitter-roberta-base-sentiment,"[1.         0.33333333 0.33333333 1.         0.66666667 0.5
 0.5        0.5        0.        ]","['cardiffnlp/twitter-roberta-base-sentiment-latest', 'siebert/sentiment-roberta-large-english', 'l3cube-pune/MarathiSentiment', 'cardiffnlp/twitter-xlm-roberta-base-sentiment', 'selimsametoglu/selims', 'osiria/bert-tweet-italian-uncased-sentiment', 'tblard/tf-allocine', 'philschmid/pt-tblard-tf-allocine', 'kevinscaria/joint_tk-instruct-base-def-pos-neg-neut-combined']"
8,Salesforce/codegen-2B-mono,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-6B-mono', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-350M-mono', 'Salesforce/codegen-350M-multi', 'Salesforce/codegen-6B-multi', 'Salesforce/codegen-2B-multi', 'Salesforce/codegen-16B-multi', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-6B-nl']"
9,prajjwal1/bert-small,"[1.         0.83333333 0.         0.         0.         0.
 0.         0.         0.        ]","['prajjwal1/bert-mini', 'harshil10/birt_tiny', 'GroNLP/bert-base-dutch-cased-upos-alpino', 'dumitrescustefan/bert-base-romanian-cased-v1', 'dumitrescustefan/bert-base-romanian-uncased-v1', 'mrm8488/bert-base-spanish-wwm-cased-finetuned-spa-squad2-es', 'Josue/BETO-espanhol-Squad2', 'jorgeortizfuentes/tulio-bert', 'l3cube-pune/marathi-bert-v2']"
